date,open,high,low,close,volume,adj_close
2014-02-03,1179.2,1212.87,1128.02,1203.79,2409900,1203.79
2014-01-02,1115.46,1186.54,1082.27,1180.97,2860800,1180.97
2013-12-02,1063.51,1121,1049.02,1120.71,1675400,1120.71
2013-11-01,1031.79,1068,1005,1059.59,1372400,1059.59
2013-10-01,880.25,1041.52,842.98,1030.58,2472300,1030.58
2013-09-03,854.36,905.99,853.95,875.91,1742200,875.91
2013-08-01,895,909.71,845.56,846.9,1606700,846.9
2013-07-01,886.45,928,875.61,887.75,2428100,887.75
2013-06-03,873,910.84,847.22,880.37,2546400,880.37
2013-05-01,823.26,920.6,816.36,871.22,2335700,871.22
2013-04-01,795.01,827.64,761.26,824.57,2539000,824.57
2013-03-01,797.8,844,793.3,794.19,2241800,794.19
2013-02-01,758.2,808.97,758.1,801.2,2558200,801.2
2013-01-02,719.42,760.95,695.52,755.69,2573300,755.69
2012-12-03,702.24,729.1,682.33,707.38,2184600,707.38
2012-11-01,679.5,699.22,636,698.37,2373400,698.37
2012-10-01,759.05,774.38,669.7,680.3,3492100,680.3
2012-09-04,684.55,764.89,673.5,754.5,3313700,754.5
2012-08-01,637.3,688.99,623.41,685.09,2138700,685.09
2012-07-02,581.82,642.6,562.09,632.97,2531000,632.97
2012-06-01,571.79,587.89,556.52,580.07,2334400,580.07
2012-05-01,603.79,637.85,579,580.86,2801800,580.86
2012-04-02,640.77,653.14,590.2,604.85,3064200,604.85
2012-03-01,622.26,658.59,593.84,641.24,2256400,641.24
2012-02-01,584.94,625.6,579.14,618.25,2525000,618.25
2012-01-03,652.94,670.25,564.55,580.11,3789200,580.11
2011-12-01,600,646.76,599,645.9,2706100,645.9
2011-11-01,580.1,618.3,561.33,599.39,3033200,599.39
2011-10-03,509.85,602.7,480.6,592.64,3798700,592.64
2011-09-01,540.75,558.52,510.5,515.04,2921500,515.04
2011-08-01,611.22,615.5,490.86,540.96,4759500,540.96
2011-07-01,506.74,627.5,506.38,603.69,4259600,603.69
2011-06-01,528.04,533.2,473.02,506.38,2797800,506.38
2011-05-02,545.7,545.73,513.4,529.02,2286400,529.02
2011-04-01,588.76,595.19,519,544.1,3723500,544.1
2011-03-01,617.78,619.22,551.28,586.76,2702900,586.76
2011-02-01,604.49,631.18,601.35,613.4,2323700,613.4
2011-01-03,596.48,642.96,595.55,600.36,3139400,600.36
2010-12-01,563,607,562.4,593.97,1992000,593.97
2010-11-01,615.73,630.85,553.31,555.71,3121800,555.71
2010-10-01,530,624.74,518.85,613.7,3886900,613.7
2010-09-01,454.98,536.85,452.5,525.79,2997300,525.79
2010-08-02,488.99,508.6,447.65,450.02,2491000,450.02
2010-07-01,445.29,497.5,433.63,484.85,3402500,484.85
2010-06-01,480.43,509.25,444.72,444.95,2884800,444.95
2010-05-03,526.5,532.92,460,485.63,4222800,485.63
2010-04-01,571.35,597.84,521.03,525.7,3595000,525.7
2010-03-01,529.2,588.28,527.74,567.12,3774000,567.12
2010-02-01,534.6,547.5,520,526.8,2846500,526.8
2010-01-04,626.95,629.51,525.61,529.94,4907400,529.94
2009-12-01,588.13,625.99,579.18,619.98,1992700,619.98
2009-11-02,537.08,587.06,528.24,583,2131500,583
2009-10-01,493,561.64,482.6,536.12,3665500,536.12
2009-09-01,459.68,507,452.59,495.85,2581900,495.85
2009-08-03,448.74,474.35,438.56,461.67,2414100,461.67
2009-07-01,424.2,452.7,395.98,443.05,3448900,443.05
2009-06-01,418.73,447.34,401.89,421.59,3320600,421.59
2009-05-01,395.03,417.23,384.69,417.23,2984100,417.23
2009-04-01,343.78,403.75,340.61,395.97,4389900,395.97
2009-03-02,333.33,359.16,289.45,348.06,5346800,348.06
2009-02-02,334.29,381,329.55,337.99,6158100,337.99
2009-01-02,308.6,352.33,282.75,338.53,5727600,338.53
2008-12-01,286.68,329.5,262.58,307.65,5267900,307.65
2008-11-03,357.58,372.36,247.3,292.96,8452500,292.96
2008-10-01,411.15,416.98,309.44,359.36,8987700,359.36
2008-09-02,476.77,482.18,380.71,400.52,6531600,400.52
2008-08-01,472.51,510.66,461.9,463.29,3460100,463.29
2008-07-01,519.58,555.68,465.6,473.75,4861400,473.75
2008-06-02,582.5,588.04,515.09,526.42,4645200,526.42
2008-05-01,578.31,602.45,537.81,585.8,5136000,585.8
2008-04-01,447.74,584.86,441,574.29,6861200,574.29
2008-03-03,471.51,472.72,412.11,440.47,7503000,440.47
2008-02-01,528.67,541.04,446.85,471.18,9330500,471.18
2008-01-02,692.87,697.37,519,564.3,8221900,564.3
2007-12-03,691.01,724.8,652.5,691.48,4384500,691.48
2007-11-01,702.79,747.24,616.02,693,8539500,693
2007-10-01,569.97,707,569.61,707,7057700,707
2007-09-04,515.02,571.79,510.88,567.27,3792200,567.27
2007-08-01,510.5,526.82,480.46,515.25,3985700,515.25
2007-07-02,525.49,558.58,498.88,510,5757200,510
2007-06-01,501,534.99,497.59,522.7,6329900,522.7
2007-05-01,472.19,508.78,457.41,497.91,4932000,497.91
2007-04-02,457.76,492.5,452.12,471.38,4829900,471.38
2007-03-01,442.67,466,437,458.16,5522500,458.16
2007-02-01,506,506.01,443.04,449.45,6418200,449.45
2007-01-03,466,513,461.11,501.5,6839600,501.5
2006-12-01,485.98,492.4,452.34,460.48,4711100,460.48
2006-11-01,478.76,513,465.06,484.81,5905600,484.81
2006-10-02,401.9,491.96,398.19,476.39,7490800,476.39
2006-09-01,380.99,418.69,376.72,401.9,6243100,401.9
2006-08-01,385.11,390,363.36,378.53,4779600,378.53
2006-07-03,420.04,427.89,377.69,386.6,6605800,386.6
2006-06-01,373.54,419.33,371.6,419.33,6756300,419.33
2006-05-01,418.47,419.44,360.57,371.82,8360000,371.82
2006-04-03,389.53,450.72,387.93,417.94,10143900,417.94
2006-03-01,368.56,399,331.55,390,14925400,390
2006-02-01,389.03,406.5,337.83,362.62,17734800,362.62
2006-01-03,422.52,475.11,394.74,432.66,16055300,432.66
